arc,word,count
01-gestation,the,1395
01-gestation,i,745
01-gestation,to,584
01-gestation,a,572
01-gestation,of,567
01-gestation,and,567
01-gestation,was,450
01-gestation,he,333
01-gestation,my,319
01-gestation,in,309
01-gestation,it,308
01-gestation,that,292
01-gestation,had,290
01-gestation,t,248
01-gestation,his,237
01-gestation,with,206
01-gestation,on,203
01-gestation,as,179
01-gestation,for,158
01-gestation,me,138
01-gestation,but,133
01-gestation,could,131
01-gestation,were,128
01-gestation,from,121
01-gestation,at,115
01-gestation,out,110
01-gestation,lung,102
01-gestation,or,100
01-gestation,there,92
01-gestation,one,92
01-gestation,they,90
01-gestation,s,89
01-gestation,up,88
01-gestation,him,88
01-gestation,just,88
01-gestation,you,83
01-gestation,she,81
01-gestation,her,79
01-gestation,would,76
01-gestation,wasn,74
01-gestation,been,74
01-gestation,so,72
01-gestation,if,71
01-gestation,over,66
01-gestation,more,66
01-gestation,by,65
01-gestation,what,62
01-gestation,didn,61
01-gestation,d,61
01-gestation,be,57
01-gestation,them,57
01-gestation,roof,56
01-gestation,like,55
01-gestation,when,55
01-gestation,off,53
01-gestation,not,52
01-gestation,have,51
01-gestation,an,51
01-gestation,see,51
01-gestation,into,51
01-gestation,made,50
01-gestation,only,49
01-gestation,costume,49
01-gestation,where,48
01-gestation,get,48
01-gestation,around,47
01-gestation,down,47
01-gestation,about,46
01-gestation,even,45
01-gestation,fire,45
01-gestation,all,44
01-gestation,two,43
01-gestation,way,43
01-gestation,than,43
01-gestation,people,41
01-gestation,said,38
01-gestation,after,38
01-gestation,we,37
01-gestation,back,36
01-gestation,still,36
01-gestation,this,36
01-gestation,no,36
01-gestation,make,35
01-gestation,before,35
01-gestation,enough,35
01-gestation,time,34
01-gestation,chapter,34
01-gestation,myself,34
01-gestation,couldn,33
01-gestation,something,33
01-gestation,then,32
01-gestation,head,32
01-gestation,do,32
01-gestation,who,31
01-gestation,think,30
01-gestation,got,29
01-gestation,through,29
01-gestation,their,29
01-gestation,face,29
01-gestation,which,28
01-gestation,black,28
01-gestation,next,28
01-gestation,hand,28
01-gestation,gang,28
01-gestation,long,27
01-gestation,door,27
01-gestation,knew,27
01-gestation,being,27
01-gestation,three,26
01-gestation,flame,26
01-gestation,few,26
01-gestation,street,26
01-gestation,powers,25
01-gestation,looked,25
01-gestation,power,25
01-gestation,any,25
01-gestation,school,25
01-gestation,last,24
